ap_timeo;ap_datemaj;Commune (nom);Coordonnées;Commune (code INSEE);id;ap_datedeb;ap_datefin;ap_adresse;desserte;desserte_scolaire;desserte_soirs_we;desserte_dimanche;desserte_2145;acces_pmr;banc;eclairage;poubelle;quartier_offre;ap_modif;Date de début de version;Date de fin de version;Est la version active;Visibilité
3851;2022-08-08T02:00:00+02:00;Mordelles;48.074582, -1.853723;35196;3851;2018-09-03T02:00:00+02:00;;1 mail du Commandant Jacques-Yves Cousteau, Mordelles;55 155 76;;;55;;Oui;Oui;Oui;Oui;Mordelles - Centre-ville;Changement de desserte;2018-09-03;;Oui;Grand public
4524;2020-11-04T01:00:00+01:00;Gévezé;48.219975, -1.787785;35120;4524;2020-11-04T01:00:00+01:00;;3 rue du Vieux Moulin, Gévezé;;Ts44;;;;Non;Oui;Oui;Oui;Gévezé - scolaire;Changement de desserte;2020-11-04;;Oui;Grand public
4272;2022-09-30T02:00:00+02:00;La Chapelle-Thouarault;48.131416, -1.849199;35065;4272;2021-09-02T02:00:00+02:00;;1 le Champ Rouget, la Chapelle-Thouarault;;Ts32 Ts66;;;;Non;;;;;Création;2021-09-02;;Oui;Grand public
3164;2018-02-07T01:00:00+01:00;Pacé;48.135578, -1.772121;35210;3164;;;;;Ts46;;;;Non;Non;Non;Non;Pacé - scolaire;;2002-01-01;;Oui;Grand public
1137;2018-02-07T01:00:00+01:00;Rennes;48.093597, -1.681809;35238;1137;2015-08-31T02:00:00+02:00;;5 rue Louis et René Moine, Rennes;C3;;;;;Oui;Oui;Non;Non;Sarah Bernard;;2015-08-31;;Oui;Grand public
1247;2018-02-07T01:00:00+01:00;Rennes;48.104868, -1.643656;35238;1247;;;35 bis rue Auguste Pavie, Rennes;11;;11;;;Oui;Non;Non;Non;Cimetière de l'Est;;2002-01-01;;Oui;Grand public
1749;2022-09-01T02:00:00+02:00;Rennes;48.112376, -1.675349;35238;1749;2022-10-28T02:00:00+02:00;;20 rue Victor Hugo, Rennes;100;;;;;;;;;;Création;2022-10-28;;Oui;Grand public
1305;2018-02-07T01:00:00+01:00;Rennes;48.127565, -1.703293;35238;1305;;;1 avenue du Bois Labbé, Rennes;C4 14 N1;;;;;Oui;Oui;Oui;Non;Beauregard;;2002-01-01;;Oui;Grand public
1308;2018-02-07T01:00:00+01:00;Rennes;48.118926, -1.704736;35238;1308;;;25 avenue Gaston Berger, Rennes;C4 N1;;;;;Oui;Oui;Oui;Non;Campus Villejean;;2002-01-01;;Oui;Grand public
1342;2018-02-07T01:00:00+01:00;Rennes;48.091175, -1.651756;35238;1342;2015-08-31T02:00:00+02:00;;14 boulevard Léon Grimault, Rennes;12;;;;;Oui;Oui;Oui;Non;Landrel;;2015-08-31;;Oui;Grand public
1346;2018-02-07T01:00:00+01:00;Rennes;48.084724, -1.655211;35238;1346;2017-02-09T01:00:00+01:00;;8 parc des Balkans, Rennes;13 N2;;;;;Oui;Oui;Non;Non;Le Blosne;;2017-02-09;;Oui;Grand public
8010;2021-09-06T02:00:00+02:00;Le Rheu;48.099381, -1.795996;35240;8010;2021-01-04T01:00:00+01:00;;5 rue de Cintré, le Rheu;st1;;;;;;;;;;Création;2021-01-04;;Oui;Grand public
1149;2022-06-27T02:00:00+02:00;Rennes;48.114248, -1.658666;35238;1149;2022-10-24T02:00:00+02:00;;115 rue de Paris, Rennes;C5;;;;;Impossible;Non;Non;Non;Jeanne d'Arc;Changement de desserte;2023-08-01;;Oui;Grand public
1434;2018-02-07T01:00:00+01:00;;;;265;2016-08-29T02:00:00+02:00;;6 boulevard Villebois-Mareuil, Rennes;32;;;;;Oui;Non;Non;Non;Axe Est-Ouest;;;;;
3110;2022-05-18T02:00:00+02:00;Pacé;48.145758, -1.770753;35210;3110;2022-09-01T02:00:00+02:00;;14 boulevard Patrice Dumaine de la Josserie, Pacé;65 77;243;;65 77;;Oui;Oui;Oui;Oui;Pacé - Centre;Changement de desserte;2022-09-01;;Oui;Grand public
1464;2018-02-07T01:00:00+01:00;Rennes;48.091295, -1.666295;35238;1464;2016-08-29T02:00:00+02:00;;14 rue Eugène Deprez, Rennes;13;;;;;Oui;Oui;Oui;Non;Binquenais;;2016-08-29;;Oui;Grand public
1473;2018-02-07T01:00:00+01:00;;;;290;;;7 boulevard de Strasbourg, Rennes;32;;;;;Oui;Non;Non;Non;Axe Est-Ouest;;;;;
1072;2018-07-25T02:00:00+02:00;Rennes;48.094922, -1.638;35238;1072;2015-08-31T02:00:00+02:00;;28 rue Louis Pétri, Rennes;C2 11;214;;;;Oui;Oui;Oui;Non;Rue de Châteaugiron;;2022-10-24;;Oui;Grand public
1100;2018-06-05T02:00:00+02:00;Rennes;48.124557, -1.681716;35238;1100;2015-08-31T02:00:00+02:00;;35 avenue Gros Malhon, Rennes;C2 12;;;;;Oui;Non;Oui;Non;Avenue Gros Malhon;;2023-09-04;2024-08-31;Oui;Grand public
3105;2022-05-18T02:00:00+02:00;Pacé;48.14765, -1.780916;35210;3105;2022-09-01T02:00:00+02:00;;10 rue des Bonnets Rouges, Pacé;52;243;81;81;;Oui;Non;Non;Non;Pacé - Sud;Changement de desserte;2022-09-01;;Oui;Grand public
3515;2018-06-05T02:00:00+02:00;Montgermont;48.162759, -1.730576;35189;3515;;;;52;226 224 228;52;52;;Non;Non;Non;Non;Montgermont - campagne;;2002-01-01;;Oui;Grand public
1026;2022-07-08T02:00:00+02:00;Rennes;48.11482, -1.679242;35238;1026;2022-10-28T02:00:00+02:00;;8 rue d'Antrain, Rennes;100;;;;;Oui;Non;Oui;Oui;Rennes Centre;Changement de desserte;2022-10-28;;Oui;Grand public
1578;2018-02-07T01:00:00+01:00;Rennes;48.13335, -1.6839;35238;1578;2015-09-01T02:00:00+02:00;;15 rue Bahon-Rault, Rennes;;228;;;;Oui;Non;Non;Non;Lycée PMF;;2015-09-01;;Oui;Grand public
1126;2018-07-24T02:00:00+02:00;Rennes;48.096023, -1.681712;35238;1126;2017-04-18T02:00:00+02:00;;6 rue du Garigliano, Rennes;C3 TTZ;;;;;Oui;Oui;Non;Non;Jacques Cartier;;2023-08-01;;Oui;Grand public
5011;2021-09-15T02:00:00+02:00;;;;416;;;22 avenue Henri Fréville, Rennes;a;;;;;Oui;Oui;Oui;Oui;Henri Fréville;;;;;
5007;2021-09-15T02:00:00+02:00;;;;445;;;1 cours des Alliés, Rennes;a;;;;;Oui;Oui;Oui;Oui;CDG - Colombier;;;;;
3026;2020-06-03T02:00:00+02:00;Chantepie;48.074549, -1.578737;35055;3026;;;12 la Chevalerais, Chantepie;;;;;;Impossible;Non;Non;Non;Chantepie Est;;2002-01-01;;Oui;Grand public
1295;2021-09-15T02:00:00+02:00;Rennes;48.116762, -1.704608;35238;1295;2017-04-18T02:00:00+02:00;;5 avenue Gaston Berger, Rennes;76 C4 N1 TTZ;;;;;Oui;Oui;Oui;Oui;Languedoc;;2017-04-18;;Oui;Grand public
1613;2018-02-07T01:00:00+01:00;Rennes;48.103012, -1.688808;35238;1613;2016-08-29T02:00:00+02:00;;6 square Vercingétorix, Rennes;C6;;;;;Oui;Oui;Oui;Oui;Arsenal Redon;;2016-08-29;;Oui;Grand public
5006;2021-09-15T02:00:00+02:00;;;;484;;;10 rue du Pré Botté, Rennes;a;;;;;Oui;Oui;Oui;Oui;Rennes Centre;;;;;
5004;2021-09-15T02:00:00+02:00;;;;485;;;20 rue Cardinal Paul Gouyon, Rennes;a;;;;;Oui;Oui;Oui;Oui;Anatole France;;;;;
1631;2018-02-07T01:00:00+01:00;Rennes;48.132353, -1.636152;35238;1631;2014-09-01T02:00:00+02:00;;1 rue de Jouanet, Rennes;34;;;;;Oui;Oui;Oui;Oui;ZA Saint-Sulpice;;2014-09-01;;Oui;Grand public
1633;2018-02-07T01:00:00+01:00;Rennes;48.096655, -1.636527;35238;1633;;;8 rue du Bignon, Rennes;11;;;;;Oui;Non;Non;Non;Rue de Châteaugiron;;2002-01-01;;Oui;Grand public
3173;2022-05-18T02:00:00+02:00;Pacé;48.148248, -1.763821;35210;3173;2022-09-01T02:00:00+02:00;;41 rue Michel Gérard, Pacé;77;234;77;77;77;Oui;Non;Non;Non;Pacé - Beausoleil;Changement de desserte;2022-09-01;;Oui;Grand public
3174;2022-05-18T02:00:00+02:00;Pacé;48.148297, -1.764208;35210;3174;2022-09-01T02:00:00+02:00;;37 rue Michel Gérard, Pacé;77;234;;77;;Oui;Oui;Oui;Oui;Pacé - Beausoleil;Changement de desserte;2022-10-24;;Oui;Grand public
1647;2018-02-07T01:00:00+01:00;Rennes;48.087324, -1.674445;35238;1647;2016-08-29T02:00:00+02:00;;105 avenue Henri Fréville, Rennes;37;;;;;Oui;Oui;Oui;Oui;Henri Fréville;;2016-08-29;;Oui;Grand public
5015;2021-09-15T02:00:00+02:00;;;;528;;;211 rue de Vern, Rennes;a;;;;;Oui;Oui;Oui;Oui;Poterie;;;;;
